ano,tipo_despesa,esfera_governo,valor_despesa
2010,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.02020706468870036
2011,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.006700427406719274
2011,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.008053293193703622
2011,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.0044268379897450544
2011,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.0002589925606813108
2011,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01892156602948664
2012,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.005928855223888434
2012,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.00937209718425143
2012,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.004506099727946093
2012,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00037994755264733675
2012,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01942710458343862
2013,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.005477356225958866
2013,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.008856477599508434
2013,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.00461968725244848
2013,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00030992849335998205
2013,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.0186435925845558
2014,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.005097462575416031
2014,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.008705673745849577
2014,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.00476458580605793
2014,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.0003347535219696135
2014,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.018232968605353922
2015,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.005918556388040945
2015,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.008540185687650397
2015,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005004750662814651
2015,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.0002759169093899504
2015,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01918757582911604
2016,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.006243859326010725
2016,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.007438402485181771
2016,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005245014360260082
2016,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00017268615216249375
2016,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.018754590019290085
2017,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.005944344620524049
2017,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.007064513706652841
2017,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005082047205137094
2017,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00011842585298417641
2017,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.017972479679329807
2018,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.006175399660771318
2018,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.00665367533004547
2018,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005154240556688829
2018,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00010283536977992856
2018,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01788048017772569
2019,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.00617415882924454
2019,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.006646262334245843
